humanReadable,scannable,aisle,bay,tier,position,pickPathModifier,img
W2 AE 27 A 1,W2AE27A1,AE,27,A,1,35,C:\Users\ironman\Desktop\svgtopng\A1.png
W2 AE 27 B 1,W2AE27B1,AE,27,B,1,36,C:\Users\ironman\Desktop\svgtopng\B1.png
W2 AE 27 C 1,W2AE27C1,AE,27,C,1,37,C:\Users\ironman\Desktop\svgtopng\C1.png
W2 AE 27 D 1,W2AE27D1,AE,27,D,1,38,C:\Users\ironman\Desktop\svgtopng\D1.png
W2 AE 28 A 1,W2AE28A1,AE,28,A,1,36,C:\Users\ironman\Desktop\svgtopng\A1.png
W2 AE 28 B 1,W2AE28B1,AE,28,B,1,37,C:\Users\ironman\Desktop\svgtopng\B1.png
W2 AE 28 C 1,W2AE28C1,AE,28,C,1,38,C:\Users\ironman\Desktop\svgtopng\C1.png
W2 AE 28 D 1,W2AE28D1,AE,28,D,1,39,C:\Users\ironman\Desktop\svgtopng\D1.png
W2 AE 29 A 1,W2AE29A1,AE,29,A,1,37,C:\Users\ironman\Desktop\svgtopng\A1.png
W2 AE 29 B 1,W2AE29B1,AE,29,B,1,38,C:\Users\ironman\Desktop\svgtopng\B1.png
W2 AE 29 C 1,W2AE29C1,AE,29,C,1,39,C:\Users\ironman\Desktop\svgtopng\C1.png
W2 AE 29 D 1,W2AE29D1,AE,29,D,1,40,C:\Users\ironman\Desktop\svgtopng\D1.png
W2 AE 30 A 1,W2AE30A1,AE,30,A,1,38,C:\Users\ironman\Desktop\svgtopng\A1.png
W2 AE 30 B 1,W2AE30B1,AE,30,B,1,39,C:\Users\ironman\Desktop\svgtopng\B1.png
W2 AE 30 C 1,W2AE30C1,AE,30,C,1,40,C:\Users\ironman\Desktop\svgtopng\C1.png
W2 AE 30 D 1,W2AE30D1,AE,30,D,1,41,C:\Users\ironman\Desktop\svgtopng\D1.png
W2 AE 31 A 1,W2AE31A1,AE,31,A,1,39,C:\Users\ironman\Desktop\svgtopng\A1.png
W2 AE 31 B 1,W2AE31B1,AE,31,B,1,40,C:\Users\ironman\Desktop\svgtopng\B1.png
W2 AE 31 C 1,W2AE31C1,AE,31,C,1,41,C:\Users\ironman\Desktop\svgtopng\C1.png
W2 AE 31 D 1,W2AE31D1,AE,31,D,1,42,C:\Users\ironman\Desktop\svgtopng\D1.png
W2 AE 32 A 1,W2AE32A1,AE,32,A,1,40,C:\Users\ironman\Desktop\svgtopng\A1.png
W2 AE 32 B 1,W2AE32B1,AE,32,B,1,41,C:\Users\ironman\Desktop\svgtopng\B1.png
W2 AE 32 C 1,W2AE32C1,AE,32,C,1,42,C:\Users\ironman\Desktop\svgtopng\C1.png
W2 AE 32 D 1,W2AE32D1,AE,32,D,1,43,C:\Users\ironman\Desktop\svgtopng\D1.png
W2 AE 33 A 1,W2AE33A1,AE,33,A,1,41,C:\Users\ironman\Desktop\svgtopng\A1.png
W2 AE 33 B 1,W2AE33B1,AE,33,B,1,42,C:\Users\ironman\Desktop\svgtopng\B1.png
W2 AE 33 C 1,W2AE33C1,AE,33,C,1,43,C:\Users\ironman\Desktop\svgtopng\C1.png
W2 AE 33 D 1,W2AE33D1,AE,33,D,1,44,C:\Users\ironman\Desktop\svgtopng\D1.png
W2 AE 34 A 1,W2AE34A1,AE,34,A,1,42,C:\Users\ironman\Desktop\svgtopng\A1.png
W2 AE 34 B 1,W2AE34B1,AE,34,B,1,43,C:\Users\ironman\Desktop\svgtopng\B1.png
W2 AE 34 C 1,W2AE34C1,AE,34,C,1,44,C:\Users\ironman\Desktop\svgtopng\C1.png
W2 AE 34 D 1,W2AE34D1,AE,34,D,1,45,C:\Users\ironman\Desktop\svgtopng\D1.png
W2 AE 35 A 1,W2AE35A1,AE,35,A,1,43,C:\Users\ironman\Desktop\svgtopng\A1.png
W2 AE 35 B 1,W2AE35B1,AE,35,B,1,44,C:\Users\ironman\Desktop\svgtopng\B1.png
W2 AE 35 C 1,W2AE35C1,AE,35,C,1,45,C:\Users\ironman\Desktop\svgtopng\C1.png
W2 AE 35 D 1,W2AE35D1,AE,35,D,1,46,C:\Users\ironman\Desktop\svgtopng\D1.png
W2 AE 36 A 1,W2AE36A1,AE,36,A,1,44,C:\Users\ironman\Desktop\svgtopng\A1.png
W2 AE 36 B 1,W2AE36B1,AE,36,B,1,45,C:\Users\ironman\Desktop\svgtopng\B1.png
W2 AE 36 C 1,W2AE36C1,AE,36,C,1,46,C:\Users\ironman\Desktop\svgtopng\C1.png
W2 AE 36 D 1,W2AE36D1,AE,36,D,1,47,C:\Users\ironman\Desktop\svgtopng\D1.png
W2 AE 37 A 1,W2AE37A1,AE,37,A,1,45,C:\Users\ironman\Desktop\svgtopng\A1.png
W2 AE 37 B 1,W2AE37B1,AE,37,B,1,46,C:\Users\ironman\Desktop\svgtopng\B1.png
W2 AE 37 C 1,W2AE37C1,AE,37,C,1,47,C:\Users\ironman\Desktop\svgtopng\C1.png
W2 AE 37 D 1,W2AE37D1,AE,37,D,1,48,C:\Users\ironman\Desktop\svgtopng\D1.png
W2 AE 38 A 1,W2AE38A1,AE,38,A,1,46,C:\Users\ironman\Desktop\svgtopng\A1.png
W2 AE 38 B 1,W2AE38B1,AE,38,B,1,47,C:\Users\ironman\Desktop\svgtopng\B1.png
W2 AE 38 C 1,W2AE38C1,AE,38,C,1,48,C:\Users\ironman\Desktop\svgtopng\C1.png
W2 AE 38 D 1,W2AE38D1,AE,38,D,1,49,C:\Users\ironman\Desktop\svgtopng\D1.png
W2 AE 39 A 1,W2AE39A1,AE,39,A,1,47,C:\Users\ironman\Desktop\svgtopng\A1.png
W2 AE 39 B 1,W2AE39B1,AE,39,B,1,48,C:\Users\ironman\Desktop\svgtopng\B1.png
W2 AE 39 C 1,W2AE39C1,AE,39,C,1,49,C:\Users\ironman\Desktop\svgtopng\C1.png
W2 AE 39 D 1,W2AE39D1,AE,39,D,1,50,C:\Users\ironman\Desktop\svgtopng\D1.png
W2 AE 40 A 1,W2AE40A1,AE,40,A,1,48,C:\Users\ironman\Desktop\svgtopng\A1.png
W2 AE 40 B 1,W2AE40B1,AE,40,B,1,49,C:\Users\ironman\Desktop\svgtopng\B1.png
W2 AE 40 C 1,W2AE40C1,AE,40,C,1,50,C:\Users\ironman\Desktop\svgtopng\C1.png
W2 AE 40 D 1,W2AE40D1,AE,40,D,1,51,C:\Users\ironman\Desktop\svgtopng\D1.png
W2 AE 41 A 1,W2AE41A1,AE,41,A,1,49,C:\Users\ironman\Desktop\svgtopng\A1.png
W2 AE 41 B 1,W2AE41B1,AE,41,B,1,50,C:\Users\ironman\Desktop\svgtopng\B1.png
W2 AE 41 C 1,W2AE41C1,AE,41,C,1,51,C:\Users\ironman\Desktop\svgtopng\C1.png
W2 AE 41 D 1,W2AE41D1,AE,41,D,1,52,C:\Users\ironman\Desktop\svgtopng\D1.png
W2 AE 42 A 1,W2AE42A1,AE,42,A,1,50,C:\Users\ironman\Desktop\svgtopng\A1.png
W2 AE 42 B 1,W2AE42B1,AE,42,B,1,51,C:\Users\ironman\Desktop\svgtopng\B1.png
W2 AE 42 C 1,W2AE42C1,AE,42,C,1,52,C:\Users\ironman\Desktop\svgtopng\C1.png
W2 AE 42 D 1,W2AE42D1,AE,42,D,1,53,C:\Users\ironman\Desktop\svgtopng\D1.png
W2 AE 43 A 1,W2AE43A1,AE,43,A,1,51,C:\Users\ironman\Desktop\svgtopng\A1.png
W2 AE 43 B 1,W2AE43B1,AE,43,B,1,52,C:\Users\ironman\Desktop\svgtopng\B1.png
W2 AE 43 C 1,W2AE43C1,AE,43,C,1,53,C:\Users\ironman\Desktop\svgtopng\C1.png
W2 AE 43 D 1,W2AE43D1,AE,43,D,1,54,C:\Users\ironman\Desktop\svgtopng\D1.png
W2 AE 44 A 1,W2AE44A1,AE,44,A,1,52,C:\Users\ironman\Desktop\svgtopng\A1.png
W2 AE 44 B 1,W2AE44B1,AE,44,B,1,53,C:\Users\ironman\Desktop\svgtopng\B1.png
W2 AE 44 C 1,W2AE44C1,AE,44,C,1,54,C:\Users\ironman\Desktop\svgtopng\C1.png
W2 AE 44 D 1,W2AE44D1,AE,44,D,1,55,C:\Users\ironman\Desktop\svgtopng\D1.png
W2 AE 45 A 1,W2AE45A1,AE,45,A,1,53,C:\Users\ironman\Desktop\svgtopng\A1.png
W2 AE 45 B 1,W2AE45B1,AE,45,B,1,54,C:\Users\ironman\Desktop\svgtopng\B1.png
W2 AE 45 C 1,W2AE45C1,AE,45,C,1,55,C:\Users\ironman\Desktop\svgtopng\C1.png
W2 AE 45 D 1,W2AE45D1,AE,45,D,1,56,C:\Users\ironman\Desktop\svgtopng\D1.png
W2 AE 46 A 1,W2AE46A1,AE,46,A,1,54,C:\Users\ironman\Desktop\svgtopng\A1.png
W2 AE 46 B 1,W2AE46B1,AE,46,B,1,55,C:\Users\ironman\Desktop\svgtopng\B1.png
W2 AE 46 C 1,W2AE46C1,AE,46,C,1,56,C:\Users\ironman\Desktop\svgtopng\C1.png
W2 AE 46 D 1,W2AE46D1,AE,46,D,1,57,C:\Users\ironman\Desktop\svgtopng\D1.png
W2 AE 47 A 1,W2AE47A1,AE,47,A,1,55,C:\Users\ironman\Desktop\svgtopng\A1.png
W2 AE 47 B 1,W2AE47B1,AE,47,B,1,56,C:\Users\ironman\Desktop\svgtopng\B1.png
W2 AE 47 C 1,W2AE47C1,AE,47,C,1,57,C:\Users\ironman\Desktop\svgtopng\C1.png
W2 AE 47 D 1,W2AE47D1,AE,47,D,1,58,C:\Users\ironman\Desktop\svgtopng\D1.png
W2 AE 48 A 1,W2AE48A1,AE,48,A,1,56,C:\Users\ironman\Desktop\svgtopng\A1.png
W2 AE 48 B 1,W2AE48B1,AE,48,B,1,57,C:\Users\ironman\Desktop\svgtopng\B1.png
W2 AE 48 C 1,W2AE48C1,AE,48,C,1,58,C:\Users\ironman\Desktop\svgtopng\C1.png
W2 AE 48 D 1,W2AE48D1,AE,48,D,1,59,C:\Users\ironman\Desktop\svgtopng\D1.png
W2 AE 49 A 1,W2AE49A1,AE,49,A,1,57,C:\Users\ironman\Desktop\svgtopng\A1.png
W2 AE 49 B 1,W2AE49B1,AE,49,B,1,58,C:\Users\ironman\Desktop\svgtopng\B1.png
W2 AE 49 C 1,W2AE49C1,AE,49,C,1,59,C:\Users\ironman\Desktop\svgtopng\C1.png
W2 AE 49 D 1,W2AE49D1,AE,49,D,1,60,C:\Users\ironman\Desktop\svgtopng\D1.png
W2 AE 50 A 1,W2AE50A1,AE,50,A,1,58,C:\Users\ironman\Desktop\svgtopng\A1.png
W2 AE 50 B 1,W2AE50B1,AE,50,B,1,59,C:\Users\ironman\Desktop\svgtopng\B1.png
W2 AE 50 C 1,W2AE50C1,AE,50,C,1,60,C:\Users\ironman\Desktop\svgtopng\C1.png
W2 AE 50 D 1,W2AE50D1,AE,50,D,1,61,C:\Users\ironman\Desktop\svgtopng\D1.png
W2 AE 51 A 1,W2AE51A1,AE,51,A,1,59,C:\Users\ironman\Desktop\svgtopng\A1.png
W2 AE 51 B 1,W2AE51B1,AE,51,B,1,60,C:\Users\ironman\Desktop\svgtopng\B1.png
W2 AE 51 C 1,W2AE51C1,AE,51,C,1,61,C:\Users\ironman\Desktop\svgtopng\C1.png
W2 AE 51 D 1,W2AE51D1,AE,51,D,1,62,C:\Users\ironman\Desktop\svgtopng\D1.png
W2 AE 52 A 1,W2AE52A1,AE,52,A,1,60,C:\Users\ironman\Desktop\svgtopng\A1.png
W2 AE 52 B 1,W2AE52B1,AE,52,B,1,61,C:\Users\ironman\Desktop\svgtopng\B1.png
W2 AE 52 C 1,W2AE52C1,AE,52,C,1,62,C:\Users\ironman\Desktop\svgtopng\C1.png
W2 AE 52 D 1,W2AE52D1,AE,52,D,1,63,C:\Users\ironman\Desktop\svgtopng\D1.png
W2 AE 53 A 1,W2AE53A1,AE,53,A,1,61,C:\Users\ironman\Desktop\svgtopng\A1.png
W2 AE 53 B 1,W2AE53B1,AE,53,B,1,62,C:\Users\ironman\Desktop\svgtopng\B1.png
W2 AE 53 C 1,W2AE53C1,AE,53,C,1,63,C:\Users\ironman\Desktop\svgtopng\C1.png
W2 AE 53 D 1,W2AE53D1,AE,53,D,1,64,C:\Users\ironman\Desktop\svgtopng\D1.png
W2 AE 54 A 1,W2AE54A1,AE,54,A,1,62,C:\Users\ironman\Desktop\svgtopng\A1.png
W2 AE 54 B 1,W2AE54B1,AE,54,B,1,63,C:\Users\ironman\Desktop\svgtopng\B1.png
W2 AE 54 C 1,W2AE54C1,AE,54,C,1,64,C:\Users\ironman\Desktop\svgtopng\C1.png
W2 AE 54 D 1,W2AE54D1,AE,54,D,1,65,C:\Users\ironman\Desktop\svgtopng\D1.png
W2 AE 55 A 1,W2AE55A1,AE,55,A,1,63,C:\Users\ironman\Desktop\svgtopng\A1.png
W2 AE 55 B 1,W2AE55B1,AE,55,B,1,64,C:\Users\ironman\Desktop\svgtopng\B1.png
W2 AE 55 C 1,W2AE55C1,AE,55,C,1,65,C:\Users\ironman\Desktop\svgtopng\C1.png
W2 AE 55 D 1,W2AE55D1,AE,55,D,1,66,C:\Users\ironman\Desktop\svgtopng\D1.png
W2 AE 56 A 1,W2AE56A1,AE,56,A,1,64,C:\Users\ironman\Desktop\svgtopng\A1.png
W2 AE 56 B 1,W2AE56B1,AE,56,B,1,65,C:\Users\ironman\Desktop\svgtopng\B1.png
W2 AE 56 C 1,W2AE56C1,AE,56,C,1,66,C:\Users\ironman\Desktop\svgtopng\C1.png
W2 AE 56 D 1,W2AE56D1,AE,56,D,1,67,C:\Users\ironman\Desktop\svgtopng\D1.png
W2 AE 57 A 1,W2AE57A1,AE,57,A,1,65,C:\Users\ironman\Desktop\svgtopng\A1.png
W2 AE 57 B 1,W2AE57B1,AE,57,B,1,66,C:\Users\ironman\Desktop\svgtopng\B1.png
W2 AE 57 C 1,W2AE57C1,AE,57,C,1,67,C:\Users\ironman\Desktop\svgtopng\C1.png
W2 AE 57 D 1,W2AE57D1,AE,57,D,1,68,C:\Users\ironman\Desktop\svgtopng\D1.png
W2 AE 58 A 1,W2AE58A1,AE,58,A,1,66,C:\Users\ironman\Desktop\svgtopng\A1.png
W2 AE 58 B 1,W2AE58B1,AE,58,B,1,67,C:\Users\ironman\Desktop\svgtopng\B1.png
W2 AE 58 C 1,W2AE58C1,AE,58,C,1,68,C:\Users\ironman\Desktop\svgtopng\C1.png
W2 AE 58 D 1,W2AE58D1,AE,58,D,1,69,C:\Users\ironman\Desktop\svgtopng\D1.png
W2 AE 59 A 1,W2AE59A1,AE,59,A,1,67,C:\Users\ironman\Desktop\svgtopng\A1.png
W2 AE 59 B 1,W2AE59B1,AE,59,B,1,68,C:\Users\ironman\Desktop\svgtopng\B1.png
W2 AE 59 C 1,W2AE59C1,AE,59,C,1,69,C:\Users\ironman\Desktop\svgtopng\C1.png
W2 AE 59 D 1,W2AE59D1,AE,59,D,1,70,C:\Users\ironman\Desktop\svgtopng\D1.png
W2 AF 13 A 1,W2AF13A1,AF,13,A,1,22,C:\Users\ironman\Desktop\svgtopng\A1.png
W2 AF 13 B 1,W2AF13B1,AF,13,B,1,23,C:\Users\ironman\Desktop\svgtopng\B1.png
W2 AF 13 C 1,W2AF13C1,AF,13,C,1,24,C:\Users\ironman\Desktop\svgtopng\C1.png
W2 AF 13 D 1,W2AF13D1,AF,13,D,1,25,C:\Users\ironman\Desktop\svgtopng\D1.png
W2 AF 14 A 1,W2AF14A1,AF,14,A,1,23,C:\Users\ironman\Desktop\svgtopng\A1.png
W2 AF 14 B 1,W2AF14B1,AF,14,B,1,24,C:\Users\ironman\Desktop\svgtopng\B1.png
W2 AF 14 C 1,W2AF14C1,AF,14,C,1,25,C:\Users\ironman\Desktop\svgtopng\C1.png
W2 AF 14 D 1,W2AF14D1,AF,14,D,1,26,C:\Users\ironman\Desktop\svgtopng\D1.png
W2 AF 15 A 1,W2AF15A1,AF,15,A,1,24,C:\Users\ironman\Desktop\svgtopng\A1.png
W2 AF 15 B 1,W2AF15B1,AF,15,B,1,25,C:\Users\ironman\Desktop\svgtopng\B1.png
W2 AF 15 C 1,W2AF15C1,AF,15,C,1,26,C:\Users\ironman\Desktop\svgtopng\C1.png
W2 AF 15 D 1,W2AF15D1,AF,15,D,1,27,C:\Users\ironman\Desktop\svgtopng\D1.png
W2 AF 16 A 1,W2AF16A1,AF,16,A,1,25,C:\Users\ironman\Desktop\svgtopng\A1.png
W2 AF 16 B 1,W2AF16B1,AF,16,B,1,26,C:\Users\ironman\Desktop\svgtopng\B1.png
W2 AF 16 C 1,W2AF16C1,AF,16,C,1,27,C:\Users\ironman\Desktop\svgtopng\C1.png
W2 AF 16 D 1,W2AF16D1,AF,16,D,1,28,C:\Users\ironman\Desktop\svgtopng\D1.png
W2 AF 17 A 1,W2AF17A1,AF,17,A,1,26,C:\Users\ironman\Desktop\svgtopng\A1.png
W2 AF 17 B 1,W2AF17B1,AF,17,B,1,27,C:\Users\ironman\Desktop\svgtopng\B1.png
W2 AF 17 C 1,W2AF17C1,AF,17,C,1,28,C:\Users\ironman\Desktop\svgtopng\C1.png
W2 AF 17 D 1,W2AF17D1,AF,17,D,1,29,C:\Users\ironman\Desktop\svgtopng\D1.png
W2 AF 18 A 1,W2AF18A1,AF,18,A,1,27,C:\Users\ironman\Desktop\svgtopng\A1.png
W2 AF 18 B 1,W2AF18B1,AF,18,B,1,28,C:\Users\ironman\Desktop\svgtopng\B1.png
W2 AF 18 C 1,W2AF18C1,AF,18,C,1,29,C:\Users\ironman\Desktop\svgtopng\C1.png
W2 AF 18 D 1,W2AF18D1,AF,18,D,1,30,C:\Users\ironman\Desktop\svgtopng\D1.png
W2 AF 19 A 1,W2AF19A1,AF,19,A,1,28,C:\Users\ironman\Desktop\svgtopng\A1.png
W2 AF 19 B 1,W2AF19B1,AF,19,B,1,29,C:\Users\ironman\Desktop\svgtopng\B1.png
W2 AF 19 C 1,W2AF19C1,AF,19,C,1,30,C:\Users\ironman\Desktop\svgtopng\C1.png
W2 AF 19 D 1,W2AF19D1,AF,19,D,1,31,C:\Users\ironman\Desktop\svgtopng\D1.png
W2 AF 20 A 1,W2AF20A1,AF,20,A,1,29,C:\Users\ironman\Desktop\svgtopng\A1.png
W2 AF 20 B 1,W2AF20B1,AF,20,B,1,30,C:\Users\ironman\Desktop\svgtopng\B1.png
W2 AF 20 C 1,W2AF20C1,AF,20,C,1,31,C:\Users\ironman\Desktop\svgtopng\C1.png
W2 AF 20 D 1,W2AF20D1,AF,20,D,1,32,C:\Users\ironman\Desktop\svgtopng\D1.png
W2 AF 21 A 1,W2AF21A1,AF,21,A,1,30,C:\Users\ironman\Desktop\svgtopng\A1.png
W2 AF 21 B 1,W2AF21B1,AF,21,B,1,31,C:\Users\ironman\Desktop\svgtopng\B1.png
W2 AF 21 C 1,W2AF21C1,AF,21,C,1,32,C:\Users\ironman\Desktop\svgtopng\C1.png
W2 AF 21 D 1,W2AF21D1,AF,21,D,1,33,C:\Users\ironman\Desktop\svgtopng\D1.png
W2 AF 22 A 1,W2AF22A1,AF,22,A,1,31,C:\Users\ironman\Desktop\svgtopng\A1.png
W2 AF 22 B 1,W2AF22B1,AF,22,B,1,32,C:\Users\ironman\Desktop\svgtopng\B1.png
W2 AF 22 C 1,W2AF22C1,AF,22,C,1,33,C:\Users\ironman\Desktop\svgtopng\C1.png
W2 AF 22 D 1,W2AF22D1,AF,22,D,1,34,C:\Users\ironman\Desktop\svgtopng\D1.png
W2 AF 23 A 1,W2AF23A1,AF,23,A,1,32,C:\Users\ironman\Desktop\svgtopng\A1.png
W2 AF 23 B 1,W2AF23B1,AF,23,B,1,33,C:\Users\ironman\Desktop\svgtopng\B1.png
W2 AF 23 C 1,W2AF23C1,AF,23,C,1,34,C:\Users\ironman\Desktop\svgtopng\C1.png
W2 AF 23 D 1,W2AF23D1,AF,23,D,1,35,C:\Users\ironman\Desktop\svgtopng\D1.png
W2 AF 24 A 1,W2AF24A1,AF,24,A,1,33,C:\Users\ironman\Desktop\svgtopng\A1.png
W2 AF 24 B 1,W2AF24B1,AF,24,B,1,34,C:\Users\ironman\Desktop\svgtopng\B1.png
W2 AF 24 C 1,W2AF24C1,AF,24,C,1,35,C:\Users\ironman\Desktop\svgtopng\C1.png
W2 AF 24 D 1,W2AF24D1,AF,24,D,1,36,C:\Users\ironman\Desktop\svgtopng\D1.png
W2 AF 25 A 1,W2AF25A1,AF,25,A,1,34,C:\Users\ironman\Desktop\svgtopng\A1.png
W2 AF 25 B 1,W2AF25B1,AF,25,B,1,35,C:\Users\ironman\Desktop\svgtopng\B1.png
W2 AF 25 C 1,W2AF25C1,AF,25,C,1,36,C:\Users\ironman\Desktop\svgtopng\C1.png
W2 AF 25 D 1,W2AF25D1,AF,25,D,1,37,C:\Users\ironman\Desktop\svgtopng\D1.png
W2 AF 26 A 1,W2AF26A1,AF,26,A,1,35,C:\Users\ironman\Desktop\svgtopng\A1.png
W2 AF 26 B 1,W2AF26B1,AF,26,B,1,36,C:\Users\ironman\Desktop\svgtopng\B1.png
W2 AF 26 C 1,W2AF26C1,AF,26,C,1,37,C:\Users\ironman\Desktop\svgtopng\C1.png
W2 AF 26 D 1,W2AF26D1,AF,26,D,1,38,C:\Users\ironman\Desktop\svgtopng\D1.png
W2 AF 27 A 1,W2AF27A1,AF,27,A,1,36,C:\Users\ironman\Desktop\svgtopng\A1.png
W2 AF 27 B 1,W2AF27B1,AF,27,B,1,37,C:\Users\ironman\Desktop\svgtopng\B1.png
W2 AF 27 C 1,W2AF27C1,AF,27,C,1,38,C:\Users\ironman\Desktop\svgtopng\C1.png
W2 AF 27 D 1,W2AF27D1,AF,27,D,1,39,C:\Users\ironman\Desktop\svgtopng\D1.png
W2 AF 28 A 1,W2AF28A1,AF,28,A,1,37,C:\Users\ironman\Desktop\svgtopng\A1.png
W2 AF 28 B 1,W2AF28B1,AF,28,B,1,38,C:\Users\ironman\Desktop\svgtopng\B1.png
W2 AF 28 C 1,W2AF28C1,AF,28,C,1,39,C:\Users\ironman\Desktop\svgtopng\C1.png
W2 AF 28 D 1,W2AF28D1,AF,28,D,1,40,C:\Users\ironman\Desktop\svgtopng\D1.png
W2 AF 29 A 1,W2AF29A1,AF,29,A,1,38,C:\Users\ironman\Desktop\svgtopng\A1.png
W2 AF 29 B 1,W2AF29B1,AF,29,B,1,39,C:\Users\ironman\Desktop\svgtopng\B1.png
W2 AF 29 C 1,W2AF29C1,AF,29,C,1,40,C:\Users\ironman\Desktop\svgtopng\C1.png
W2 AF 29 D 1,W2AF29D1,AF,29,D,1,41,C:\Users\ironman\Desktop\svgtopng\D1.png
W2 AF 30 A 1,W2AF30A1,AF,30,A,1,39,C:\Users\ironman\Desktop\svgtopng\A1.png
W2 AF 30 B 1,W2AF30B1,AF,30,B,1,40,C:\Users\ironman\Desktop\svgtopng\B1.png
W2 AF 30 C 1,W2AF30C1,AF,30,C,1,41,C:\Users\ironman\Desktop\svgtopng\C1.png
W2 AF 30 D 1,W2AF30D1,AF,30,D,1,42,C:\Users\ironman\Desktop\svgtopng\D1.png
W2 AF 31 A 1,W2AF31A1,AF,31,A,1,40,C:\Users\ironman\Desktop\svgtopng\A1.png
W2 AF 31 B 1,W2AF31B1,AF,31,B,1,41,C:\Users\ironman\Desktop\svgtopng\B1.png
W2 AF 31 C 1,W2AF31C1,AF,31,C,1,42,C:\Users\ironman\Desktop\svgtopng\C1.png
W2 AF 31 D 1,W2AF31D1,AF,31,D,1,43,C:\Users\ironman\Desktop\svgtopng\D1.png
W2 AF 32 A 1,W2AF32A1,AF,32,A,1,41,C:\Users\ironman\Desktop\svgtopng\A1.png
W2 AF 32 B 1,W2AF32B1,AF,32,B,1,42,C:\Users\ironman\Desktop\svgtopng\B1.png
W2 AF 32 C 1,W2AF32C1,AF,32,C,1,43,C:\Users\ironman\Desktop\svgtopng\C1.png
W2 AF 32 D 1,W2AF32D1,AF,32,D,1,44,C:\Users\ironman\Desktop\svgtopng\D1.png
W2 AF 33 A 1,W2AF33A1,AF,33,A,1,42,C:\Users\ironman\Desktop\svgtopng\A1.png
W2 AF 33 B 1,W2AF33B1,AF,33,B,1,43,C:\Users\ironman\Desktop\svgtopng\B1.png
W2 AF 33 C 1,W2AF33C1,AF,33,C,1,44,C:\Users\ironman\Desktop\svgtopng\C1.png
W2 AF 33 D 1,W2AF33D1,AF,33,D,1,45,C:\Users\ironman\Desktop\svgtopng\D1.png
W2 AF 34 A 1,W2AF34A1,AF,34,A,1,43,C:\Users\ironman\Desktop\svgtopng\A1.png
W2 AF 34 B 1,W2AF34B1,AF,34,B,1,44,C:\Users\ironman\Desktop\svgtopng\B1.png
W2 AF 34 C 1,W2AF34C1,AF,34,C,1,45,C:\Users\ironman\Desktop\svgtopng\C1.png
W2 AF 34 D 1,W2AF34D1,AF,34,D,1,46,C:\Users\ironman\Desktop\svgtopng\D1.png
W2 AF 35 A 1,W2AF35A1,AF,35,A,1,44,C:\Users\ironman\Desktop\svgtopng\A1.png
W2 AF 35 B 1,W2AF35B1,AF,35,B,1,45,C:\Users\ironman\Desktop\svgtopng\B1.png
W2 AF 35 C 1,W2AF35C1,AF,35,C,1,46,C:\Users\ironman\Desktop\svgtopng\C1.png
W2 AF 35 D 1,W2AF35D1,AF,35,D,1,47,C:\Users\ironman\Desktop\svgtopng\D1.png
W2 AF 36 A 1,W2AF36A1,AF,36,A,1,45,C:\Users\ironman\Desktop\svgtopng\A1.png
W2 AF 36 B 1,W2AF36B1,AF,36,B,1,46,C:\Users\ironman\Desktop\svgtopng\B1.png
W2 AF 36 C 1,W2AF36C1,AF,36,C,1,47,C:\Users\ironman\Desktop\svgtopng\C1.png
W2 AF 36 D 1,W2AF36D1,AF,36,D,1,48,C:\Users\ironman\Desktop\svgtopng\D1.png
W2 AF 37 A 1,W2AF37A1,AF,37,A,1,46,C:\Users\ironman\Desktop\svgtopng\A1.png
W2 AF 37 B 1,W2AF37B1,AF,37,B,1,47,C:\Users\ironman\Desktop\svgtopng\B1.png
W2 AF 37 C 1,W2AF37C1,AF,37,C,1,48,C:\Users\ironman\Desktop\svgtopng\C1.png
W2 AF 37 D 1,W2AF37D1,AF,37,D,1,49,C:\Users\ironman\Desktop\svgtopng\D1.png
W2 AF 38 A 1,W2AF38A1,AF,38,A,1,47,C:\Users\ironman\Desktop\svgtopng\A1.png
W2 AF 38 B 1,W2AF38B1,AF,38,B,1,48,C:\Users\ironman\Desktop\svgtopng\B1.png
W2 AF 38 C 1,W2AF38C1,AF,38,C,1,49,C:\Users\ironman\Desktop\svgtopng\C1.png
W2 AF 38 D 1,W2AF38D1,AF,38,D,1,50,C:\Users\ironman\Desktop\svgtopng\D1.png
W2 AF 39 A 1,W2AF39A1,AF,39,A,1,48,C:\Users\ironman\Desktop\svgtopng\A1.png
W2 AF 39 B 1,W2AF39B1,AF,39,B,1,49,C:\Users\ironman\Desktop\svgtopng\B1.png
W2 AF 39 C 1,W2AF39C1,AF,39,C,1,50,C:\Users\ironman\Desktop\svgtopng\C1.png
W2 AF 39 D 1,W2AF39D1,AF,39,D,1,51,C:\Users\ironman\Desktop\svgtopng\D1.png
W2 AF 40 A 1,W2AF40A1,AF,40,A,1,49,C:\Users\ironman\Desktop\svgtopng\A1.png
W2 AF 40 B 1,W2AF40B1,AF,40,B,1,50,C:\Users\ironman\Desktop\svgtopng\B1.png
W2 AF 40 C 1,W2AF40C1,AF,40,C,1,51,C:\Users\ironman\Desktop\svgtopng\C1.png
W2 AF 40 D 1,W2AF40D1,AF,40,D,1,52,C:\Users\ironman\Desktop\svgtopng\D1.png
W2 AF 41 A 1,W2AF41A1,AF,41,A,1,50,C:\Users\ironman\Desktop\svgtopng\A1.png
