humanReadable,scannable,aisle,bay,tier,position,pickPathModifier,img
W2 AA 13 A 1,W2AA13A1,AA,13,A,1,17,C:\Users\ironman\Desktop\svgtopng\A1.png
W2 AA 13 B 1,W2AA13B1,AA,13,B,1,18,C:\Users\ironman\Desktop\svgtopng\B1.png
W2 AA 13 C 1,W2AA13C1,AA,13,C,1,19,C:\Users\ironman\Desktop\svgtopng\C1.png
W2 AA 13 D 1,W2AA13D1,AA,13,D,1,20,C:\Users\ironman\Desktop\svgtopng\D1.png
W2 AA 14 A 1,W2AA14A1,AA,14,A,1,18,C:\Users\ironman\Desktop\svgtopng\A1.png
W2 AA 14 B 1,W2AA14B1,AA,14,B,1,19,C:\Users\ironman\Desktop\svgtopng\B1.png
W2 AA 14 C 1,W2AA14C1,AA,14,C,1,20,C:\Users\ironman\Desktop\svgtopng\C1.png
W2 AA 14 D 1,W2AA14D1,AA,14,D,1,21,C:\Users\ironman\Desktop\svgtopng\D1.png
W2 AA 15 A 1,W2AA15A1,AA,15,A,1,19,C:\Users\ironman\Desktop\svgtopng\A1.png
W2 AA 15 B 1,W2AA15B1,AA,15,B,1,20,C:\Users\ironman\Desktop\svgtopng\B1.png
W2 AA 15 C 1,W2AA15C1,AA,15,C,1,21,C:\Users\ironman\Desktop\svgtopng\C1.png
W2 AA 15 D 1,W2AA15D1,AA,15,D,1,22,C:\Users\ironman\Desktop\svgtopng\D1.png
W2 AA 16 A 1,W2AA16A1,AA,16,A,1,20,C:\Users\ironman\Desktop\svgtopng\A1.png
W2 AA 16 B 1,W2AA16B1,AA,16,B,1,21,C:\Users\ironman\Desktop\svgtopng\B1.png
W2 AA 16 C 1,W2AA16C1,AA,16,C,1,22,C:\Users\ironman\Desktop\svgtopng\C1.png
W2 AA 16 D 1,W2AA16D1,AA,16,D,1,23,C:\Users\ironman\Desktop\svgtopng\D1.png
W2 AA 17 A 1,W2AA17A1,AA,17,A,1,21,C:\Users\ironman\Desktop\svgtopng\A1.png
W2 AA 17 B 1,W2AA17B1,AA,17,B,1,22,C:\Users\ironman\Desktop\svgtopng\B1.png
